"","Incident_Number","Offence_Code_Group","Latitude","Longtitude","City","Year"
"192","I192074725","Simple Assault",42.29093382,-71.12332234,"West Roxbury","2019"
"193","I192074689","Simple Assault",42.34988575,-71.14522971,"Brighton","2019"
"194","I192074606","Simple Assault",42.37421104,-71.03918485,"East Boston","2019"
"195","I192074599","Simple Assault",42.35272948,-71.06256291,"Downtown","2019"
"196","I192074591","Simple Assault",42.27683754,-71.0952644,"Mattapan","2019"
"197","I192074565","Simple Assault",42.28482577,-71.09137369,"Mattapan","2019"
"198","I192074551","Simple Assault",42.27781081,-71.0910429,"Mattapan","2019"
"199","I192074516","Simple Assault",42.34901954,-71.08130134,"South End","2019"
"200","I192074511","Simple Assault",42.35029374,-71.07744671,"South End","2019"
"201","I192074461","Simple Assault",42.24422964,-71.13251945,"Hyde Park","2019"
"202","I192074446","Simple Assault",42.29118594,-71.12306345,"West Roxbury","2019"
"203","I192074314","Simple Assault",42.34410718,-71.1018026,"South End","2019"
"204","I192074311","Simple Assault",42.28024352,-71.08481509,"Mattapan","2019"
"205","I192074260","Simple Assault",42.32547536,-71.10253482,"Jamaica Plain","2019"
"206","I192074247","Simple Assault",42.27544488,-71.11869065,"Hyde Park","2019"
"207","I192074239","Simple Assault",42.32635435,-71.07422322,"Roxbury","2019"
"208","I192074213","Simple Assault",42.37474921,-71.05270605,"Charlestown","2019"
"209","I192074191","Simple Assault",42.29384269,-71.07609427,"Mattapan","2019"
"210","I192074189","Simple Assault",42.31153554,-71.09079223,"Roxbury","2019"
"211","I192074175","Simple Assault",42.27012034,-71.16708203,"West Roxbury","2019"
"212","I192074144","Simple Assault",42.26059891,-71.1030614,"Hyde Park","2019"
"213","I192074120","Simple Assault",42.37000413,-71.03007268,"East Boston","2019"
"214","I192074102","Simple Assault",42.26788791,-71.10067012,"Hyde Park","2019"
"215","I192074092","Simple Assault",42.3296087,-71.08462109,"Roxbury","2019"
"216","I192074068","Simple Assault",42.32734083,-71.06732427,"South Boston","2019"
"217","I192074055","Simple Assault",42.34489594,-71.09659186,"South End","2019"
"218","I192074054","Simple Assault",42.36080151,-71.06782813,"Downtown","2019"
"219","I192074046","Simple Assault",42.35043307,-71.05661862,"Downtown","2019"
"220","I192074041","Simple Assault",42.31532086,-71.10354087,"Jamaica Plain","2019"
"221","I192074037","Simple Assault",42.3642384,-71.06165515,"Downtown","2019"
"222","I192074027","Simple Assault",42.35546674,-71.07247479,"South End","2019"
"223","I192073961","Simple Assault",42.33869635,-71.07139879,"South End","2019"
"224","I192073902","Simple Assault",42.31388733,-71.0968344,"Jamaica Plain","2019"
"225","I192073874","Simple Assault",42.259082,-71.159586,"West Roxbury","2019"
"226","I192073814","Simple Assault",42.36242887,-71.06054873,"Downtown","2019"
"227","I192073787","Simple Assault",42.28265604,-71.07374541,"Mattapan","2019"
"228","I192073764","Simple Assault",42.27982532,-71.135234,"West Roxbury","2019"
