"","Incident_Number","Offence_Code_Group","Latitude","Longtitude","City","Year"
"370","I192074496","Motor Vehicle Accident Response",42.28970197,-71.12465274,"West Roxbury","2019"
"371","I192074495","Motor Vehicle Accident Response",42.32396839,-71.07919432,"Roxbury","2019"
"372","I192074481","Motor Vehicle Accident Response",42.3214622,-71.0780367,"Roxbury","2019"
"373","I192074456","Motor Vehicle Accident Response",42.27389673,-71.06761265,"Dorchester","2019"
"374","I192074443","Motor Vehicle Accident Response",42.35217524,-71.04913425,"South Boston","2019"
"375","I192074440","Motor Vehicle Accident Response",42.30168622,-71.06328901,"Dorchester","2019"
"376","I192074439","Motor Vehicle Accident Response",42.33285027,-71.04417249,"South Boston","2019"
"377","I192074420","Motor Vehicle Accident Response",42.28380634,-71.05198465,"Dorchester","2019"
"378","I192074408","Motor Vehicle Accident Response",42.28672926,-71.13084452,"West Roxbury","2019"
"379","I192074407","Motor Vehicle Accident Response",42.35044939,-71.06087148,"Downtown","2019"
"380","I192074387","Motor Vehicle Accident Response",42.337002,-71.09714001,"Roxbury","2019"
"381","I192074373","Motor Vehicle Accident Response",42.33606304,-71.10782832,"Roxbury","2019"
"382","I192074365","Motor Vehicle Accident Response",42.33466748,-71.04125555,"South Boston","2019"
"383","I192074346","Motor Vehicle Accident Response",42.33506218,-71.09316781,"Roxbury","2019"
"384","I192074345","Motor Vehicle Accident Response",42.31465584,-71.06581008,"Dorchester","2019"
"385","I192074334","Motor Vehicle Accident Response",42.29406247,-71.09004553,"Mattapan","2019"
"386","I192074308","Motor Vehicle Accident Response",42.30884327,-71.11935202,"Jamaica Plain","2019"
"387","I192074307","Motor Vehicle Accident Response",42.30461251,-71.07296566,"Dorchester","2019"
"388","I192074307","Motor Vehicle Accident Response",42.30461251,-71.07296566,"Dorchester","2019"
"389","I192074302","Motor Vehicle Accident Response",42.33789449,-71.09306889,"South End","2019"
"390","I192074284","Motor Vehicle Accident Response",42.32532139,-71.09708142,"Roxbury","2019"
"391","I192074281","Motor Vehicle Accident Response",42.32270922,-71.09932317,"Jamaica Plain","2019"
"392","I192074277","Motor Vehicle Accident Response",42.33789449,-71.09306889,"South End","2019"
"393","I192074264","Motor Vehicle Accident Response",42.28287754,-71.08474489,"Mattapan","2019"
"394","I192074263","Motor Vehicle Accident Response",42.2928261,-71.050667,"Dorchester","2019"
"395","I192074250","Motor Vehicle Accident Response",42.30986434,-71.06259635,"Dorchester","2019"
"396","I192074248","Motor Vehicle Accident Response",42.25194322,-71.11925138,"Hyde Park","2019"
"397","I192074240","Motor Vehicle Accident Response",42.28881222,-71.08513152,"Mattapan","2019"
"398","I192074238","Motor Vehicle Accident Response",42.29095776,-71.07168549,"Dorchester","2019"
"399","I192074236","Motor Vehicle Accident Response",42.27997886,-71.07684218,"Mattapan","2019"
"400","I192074233","Motor Vehicle Accident Response",42.28248068,-71.06981187,"Dorchester","2019"
"401","I192074220","Motor Vehicle Accident Response",42.30994208,-71.04686367,"Dorchester","2019"
"402","I192074215","Motor Vehicle Accident Response",42.3738748,-71.06244162,"Charlestown","2019"
"403","I192074211","Motor Vehicle Accident Response",42.34640381,-71.07551289,"South End","2019"
"404","I192074199","Motor Vehicle Accident Response",42.31165709,-71.05531787,"Dorchester","2019"
"405","I192074185","Motor Vehicle Accident Response",42.31632131,-71.0892305,"Roxbury","2019"
"406","I192074183","Motor Vehicle Accident Response",42.35541752,-71.15799913,"Brighton","2019"
"407","I192074162","Motor Vehicle Accident Response",42.28518631,-71.09211276,"Mattapan","2019"
"408","I192074158","Motor Vehicle Accident Response",42.35421065,-71.13239445,"Brighton","2019"
"409","I192074154","Motor Vehicle Accident Response",42.27312104,-71.07738579,"Mattapan","2019"
"410","I192074152","Motor Vehicle Accident Response",42.29519923,-71.05622834,"Dorchester","2019"
"411","I192074151","Motor Vehicle Accident Response",42.32337662,-71.08664761,"Roxbury","2019"
"412","I192074131","Motor Vehicle Accident Response",42.30918536,-71.0739675,"Roxbury","2019"
"413","I192074123","Motor Vehicle Accident Response",42.25332979,-71.12467152,"Hyde Park","2019"
"414","I192074117","Motor Vehicle Accident Response",42.29190169,-71.09336352,"Mattapan","2019"
"415","I192074106","Motor Vehicle Accident Response",42.34044966,-71.08845935,"South End","2019"
"416","I192074090","Motor Vehicle Accident Response",42.27380942,-71.11996035,"Hyde Park","2019"
"417","I192074085","Motor Vehicle Accident Response",42.24690525,-71.12828904,"Hyde Park","2019"
"418","I192074081","Motor Vehicle Accident Response",42.328597,-71.08274741,"Roxbury","2019"
"419","I192074073","Motor Vehicle Accident Response",42.2840622,-71.08170839,"Mattapan","2019"
"420","I192074073","Motor Vehicle Accident Response",42.2840622,-71.08170839,"Mattapan","2019"
"421","I192074064","Motor Vehicle Accident Response",42.30010597,-71.0710271,"Dorchester","2019"
"422","I192074050","Motor Vehicle Accident Response",42.27065695,-71.09377841,"Mattapan","2019"
"423","I192074045","Motor Vehicle Accident Response",42.35370585,-71.05898587,"Downtown","2019"
"424","I192074035","Motor Vehicle Accident Response",42.38630618,-71.00772965,"East Boston","2019"
"425","I192074034","Motor Vehicle Accident Response",42.29588434,-71.092206,"Mattapan","2019"
"426","I192074026","Motor Vehicle Accident Response",42.33486614,-71.0785518,"South End","2019"
"427","I192074017","Motor Vehicle Accident Response",42.36322276,-71.13494592,"Brighton","2019"
"428","I192073982","Motor Vehicle Accident Response",42.33561661,-71.03641895,"South Boston","2019"
"429","I192073967","Motor Vehicle Accident Response",42.28451318,-71.09125682,"Mattapan","2019"
"430","I192073966","Motor Vehicle Accident Response",42.34989124,-71.15307813,"Brighton","2019"
"431","I192073957","Motor Vehicle Accident Response",42.27645319,-71.11297971,"Hyde Park","2019"
"432","I192073954","Motor Vehicle Accident Response",42.34442266,-71.09833083,"South End","2019"
"433","I192073941","Motor Vehicle Accident Response",42.3125497,-71.08757081,"Roxbury","2019"
"434","I192073935","Motor Vehicle Accident Response",42.35342608,-71.13508383,"Brighton","2019"
"435","I192073925","Motor Vehicle Accident Response",42.34054124,-71.1577613,"Brighton","2019"
"436","I192073921","Motor Vehicle Accident Response",42.33209622,-71.09860557,"Roxbury","2019"
"437","I192073910","Motor Vehicle Accident Response",42.28457983,-71.0808331,"Mattapan","2019"
"438","I192073897","Motor Vehicle Accident Response",42.36318364,-71.12978243,"Brighton","2019"
"439","I192073887","Motor Vehicle Accident Response",42.32492546,-71.09839601,"Jamaica Plain","2019"
"440","I192073883","Motor Vehicle Accident Response",42.33087019,-71.08115673,"Roxbury","2019"
